Retail Branding,Marketing Name,Device,Model,Supported ROMs
Master-G,MASTER-G,lavender,4K SMART TV,"AICP, AOSP Extended, Arrow OS, BeastROMs, Bliss ROMs, Carbon ROM, Colt OS, ConquerOS, CrDroid, Dot OS"
Mira,X2,X2,X2,CrDroid
Mito,4K Smart TV,pioneer,4K PA Smart TV,CrDroid
Mobell,4K Smart TV,pioneer,4K PA Smart TV,CrDroid
Motorola,Android TV,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
Motorola,DROID MAXX 2,lux,XT1021,AICP
Motorola,DROID MAXX 2,lux,XT1565,AICP
Motorola,Moto G (5),cedric,Moto G (5),"Atomic Os, Carbon ROM"
Motorola,Moto G (5S) Plus,sanders,Moto G (5S) Plus,"AICP, CrDroid, Dot OS"
Motorola,Moto G (5th Gen),cedric,Moto G (5),"Atomic Os, Carbon ROM"
Motorola,Moto G Plus (5th Gen),potter,Moto G (5) Plus,"AICP, AOSP Extended, Carbon ROM, CrDroid, Dot OS"
Motorola,Moto G Turbo Edition,merlin,MotoG3,AICP
Motorola,Moto G Turbo Edition,merlin,MotoG3-TE,AICP
Motorola,Moto G4 Play,harpia,Moto G Play,AICP
Motorola,Moto G4 Play,harpia,XT1609,AICP
Motorola,Moto X (2nd Gen),victara,XT1085,"AICP, AOSP Extended"
Motorola,Moto X (2nd Gen),victara,XT1092,"AICP, AOSP Extended"
Motorola,Moto X (2nd Gen),victara,XT1093,"AICP, AOSP Extended"
Motorola,Moto X (2nd Gen),victara,XT1094,"AICP, AOSP Extended"
Motorola,Moto X (2nd Gen),victara,XT1095,"AICP, AOSP Extended"
Motorola,Moto X (2nd Gen),victara,XT1096,"AICP, AOSP Extended"
Motorola,Moto X (2nd Gen),victara,XT1097,"AICP, AOSP Extended"
Motorola,Moto X (2nd Gen),victara,XT1098,"AICP, AOSP Extended"
Motorola,Moto X (4),payton,XT1789-05,"CrDroid, Dot OS"
Motorola,Moto X (4),payton,moto x4,"CrDroid, Dot OS"
Motorola,Moto X Play,lux,Moto X Play,AICP
Motorola,Moto X Play,lux,XT1021,AICP
Motorola,Moto X Play,lux,XT1562,AICP
Motorola,Moto X Play,lux,XT1563,AICP
Motorola,Moto X Play,lux,XT1564,AICP
Motorola,Moto Z,griffin,XT1650,AmyROM
Motorola,Moto Z,griffin,XT1650-05,AmyROM
Motorola,Moto Z (2) Play,albus,Moto Z2 Play,"AICP, Dot OS"
Motorola,Moto Z (2) Play,albus,XT1710-02,"AICP, Dot OS"
